,Location,Minute Delay
223,RONCESVALLES AND QUEEN,14.0
224,BATHURST AND QUEEN,16.0
225,BATHURST AND QUEEN,14.0
226,MAIN STATION,10.0
227,SPADINA AND QUEEN'S QU,20.0
228,QUEEN AND SHAW,14.0
229,KING AND YONGE,12.0
230,QUEENS QUAY AND SPADIN,20.0
231,SPADINA AND QUEEN'S QU,20.0
232,SPADINA AND QUEEN'S QU,20.0
233,BROADVIEW STATION,12.0
234,QUEEN AND NEVILLE,20.0
235,SPADINA AND QUEEN'S QU,20.0
236,SPADINA AND QUEEN'S QU,20.0
237,SPADINA AND QUEEN'S QU,20.0
238,SPADINA AND QUEEN'S QU,20.0
239,QUEEN AND RONCESVALLES,12.0
240,SPADINA AND QUEEN'S QU,20.0
241,SPADINA AND QUEEN'S QU,20.0
242,SPADINA AND QUEEN'S QU,20.0
243,BROADVIEW AND DUNDAS,18.0
244,BROADVIEW STATION,18.0
245,BROADVIEW AND DUNDAS,23.0
246,ST CLAIR AND VAUGHAN,10.0
247,ST CLAIR AND SPADINA,23.0
248,SPADINA AND QUEEN'S QU,20.0
249,QUEENS QUAY AND SPADIN,20.0
250,DUFFERIN AND QUEEN,14.0
251,QUEEN AND RONCESVALLES,12.0
252,MCCAUL LOOP,0.0
253,EXHIBITION LOOP,16.0
254,EXHIBITION LOOP,16.0
255,BATHURST STATION,15.0
256,PARLIAMENT AND GERRARD,58.0
257,QUEEN AND BROADVIEW,77.0
258,BROADVIEW AND QUEEN,0.0
259,QUEENS QUAY AND SPADIN,20.0
260,QUEEN AND JARVIS,12.0
261,LANSDOWNE LOOP - COLLE,20.0
262,KINGSTON RD LOOP,20.0
263,ST CLAIR AND VAUGHAN,20.0
264,BROADVIEW STATION,20.0
265,NEVILLE LOOP,20.0
266,RONCESVALLES AND HOWAR,0.0
267,BROADVIEW AND DANFORTH,16.0
268,KING AND RIVER,22.0
269,RONCESVALLES AND HOWAR,12.0
270,MAIN STATION,10.0
271,PARLIAMENT AND GERRARD,10.0
272,QUEEN AND BROCK,16.0
273,DUNDAS AND MCCAUL,16.0
274,DUNDAS WEST STATION,18.0
275,QUEEN AND YORK,20.0
276,QUEENS QUAY AND SPADIN,20.0
277,QUEENS QUAY AND SPADIN,20.0
278,QUEENS QUAY AND SPADIN,20.0
279,QUEENS QUAY AND SPADIN,20.0
280,QUEENS QUAY AND SPADIN,20.0
281,QUEENS QUAY AND SPADIN,20.0
282,QUEENS QUAY AND SPADIN,20.0
283,QUEENS QUAY AND SPADIN,20.0
284,BROADVIEW STATION,16.0
285,QUEENS QUAY AND SPADIN,20.0
286,KING AND TRILLER,10.0
287,QUEEN AND CHURCH,20.0
288,KING AND DUFFERIN,22.0
289,BROADVIEW STATION,16.0
290,BROADVIEW AND WOLFREY,16.0
291,SPADINA AND QUEEN'S QU,40.0
292,MCCAUL LOOP,20.0
293,COLLEGE AND LANSDOWNE,0.0
294,SPADINA AND QUEEN,20.0
295,QUEEN AND JOHN,12.0
296,QUEENS QUAY AND SPADIN,30.0
297,KING AND BATHURST,14.0
298,EXHIBITION LOOP,16.0
299,SPADINA AND QUEEN'S QU,20.0
300,QUEEN AND PARLIAMENT,12.0
301,LONG BRANCH LOOP,0.0
302,BATHURST AND KING,0.0
303,HOWARD PARK AND RONCES,14.0
304,HOWARD PARK AND RONCES,14.0
